,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
he,Person,339,1412.0,1422.0,1457.0,1474.0,1488.0,1494.0,1533.0,1793.0,2144.0,2197.0,2229.0,2446.0,3407.0,3493.0,3909.0,4368.0,4395.0,4523.0,4552.0,4564.0,4739.0,5208.0,5442.0,5466.0,5689.0,6001.0,6043.0,6495.0,6498.0,6500.0,6802.0,6965.0,7307.0,7463.0,7650.0,7701.0,7782.0,7853.0,7948.0,8205.0,13488.0,13747.0,13856.0,13936.0,14396.0,14490.0,14899.0,14926.0,14950.0,15403.0,16176.0,16220.0,16298.0,16338.0,16398.0,16610.0,16616.0,16660.0,16944.0,17025.0,17123.0,23995.0,25007.0,25017.0,25459.0,26644.0,26682.0,26696.0,26737.0,27057.0,27173.0,27324.0,27349.0,27352.0,27375.0,27619.0,27648.0,27712.0,28106.0,28117.0,28240.0,28270.0,28483.0,28807.0,29435.0,29452.0,29648.0,29845.0,30352.0,30417.0,30451.0,30625.0,30802.0,30867.0,31075.0,31114.0,44122.0,44292.0,44443.0,44496.0,44553.0,44763.0,44878.0,45018.0,45088.0,45139.0,45234.0
Russia’s,Location,16999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine’s,Location,16996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soldier’s,MilitaryPlatform,30895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOP,Organisation,16436,16460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republican,Organisation,3393,15593.0,15800.0,16231.0,16314.0,16446.0,16516.0,16707.0,16824.0,16854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
military,Organisation,1361,1632.0,3769.0,3987.0,4302.0,5892.0,6028.0,6451.0,7625.0,8899.0,9970.0,10566.0,10600.0,12426.0,12456.0,12464.0,12662.0,12795.0,13659.0,14060.0,14469.0,14738.0,15186.0,15223.0,17397.0,18296.0,22185.0,23953.0,24090.0,24092.0,24142.0,24858.0,25325.0,25384.0,27919.0,28370.0,29721.0,29754.0,29769.0,29888.0,30001.0,30263.0,31609.0,32157.0,32320.0,32373.0,32407.0,32463.0,32787.0,34441.0,40453.0,40514.0,40696.0,44227.0,44259.0,44940.0,45406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forces,MilitaryPlatform,13082,13355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose,Person,20110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,Person,24164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secretary,Person,38659,38954.0,38972.0,39221.0,39326.0,41162.0,42330.0,42366.0,44204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
another,Location,689,5391.0,5907.0,5953.0,5982.0,8269.0,8294.0,8614.0,11769.0,15508.0,21686.0,26552.0,26580.0,29908.0,31157.0,31221.0,34157.0,39278.0,39346.0,40701.0,44085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
