,O,Location,Person,MilitaryPlatform,Organisation,Weapon,Temporal,Money
and,1161.0,6.0,1.0,1.0,20.0,1.0,1.0,
say,26.0,,,,1.0,,,
they,77.0,,,,,,,
may,22.0,,,,,,,
be,143.0,,,,,,,
preparing,5.0,,,,,,,
a,704.0,4.0,5.0,6.0,3.0,4.0,2.0,1.0
new,51.0,1.0,1.0,,,1.0,,
push,4.0,,,,,,,
The,169.0,7.0,12.0,8.0,58.0,,,
tiny,3.0,2.0,,,,,,
56km,2.0,,,,,,,
(,87.0,3.0,1.0,8.0,39.0,,,
35,5.0,,,,1.0,,,
miles,15.0,,,,,1.0,,
),89.0,2.0,1.0,8.0,38.0,,,
focal,1.0,,,,,,,
point,9.0,,,,,,,
since,39.0,,,,,,6.0,
began,13.0,,,,,,1.0,
at,164.0,2.0,,,,,,
start,17.0,,,,,,,
Progress,1.0,,,,,,,
but,80.0,,,,,,,
Institute,1.0,1.0,,,6.0,,,
War,1.0,,,,5.0,,,
confirmed,2.0,,,,,,,
that,429.0,,,,,,,
operating,15.0,4.0,,,,,,
ditch,1.0,,,,,,,
dragon,3.0,,,,,,,
teeth,3.0,,,,,1.0,,
obstacles,5.0,,,,,,,
area,29.0,4.0,,,,,,
-,75.0,1.0,,,1.0,,,
just,39.0,,,,,,,
west,2.0,,,,,,,
nearby,6.0,1.0,,,,,,
maps,3.0,,,,,,,
describes,1.0,,,,,,,
this,164.0,,,,,,4.0,
an,115.0,,,1.0,1.0,3.0,,
"""",355.0,,,,1.0,,,
important,28.0,,,,,,,
sign,4.0,,,,,,,
adds,6.0,,,,,,,
it,195.0,,,,,,,
is,380.0,,,,,,,
not,98.0,,,,,,,
prepared,2.0,,,,,,,
broken,6.0,,,,,,,
through,54.0,,,,,,1.0,
breached,2.0,,,,,,,
last,31.0,,,,,,7.0,
visible,2.0,,,,,,,
positions,6.0,,,,,,,
security,92.0,1.0,,1.0,2.0,,,
correspondent,1.0,,,,,,,
says,49.0,,,,,,,
strategically,4.0,,,,,,,
part,27.0,,,,,,,
if,33.0,,,,,,,
successful,10.0,,,,,,,
could,26.0,,,,,,,
cut,4.0,,,,,,,
off,12.0,,,,,,,
supply,13.0,1.0,,,,,,
connect,2.0,,,,,,,
Doing,2.0,,,,,,,
so,53.0,,,,,,,
would,51.0,,,,,,,
all,65.0,,,,,,,
impossible,6.0,,,,,,,
maintain,9.0,,,,,,,
huge,5.0,,,,,,,
which,94.0,,,,,,,
annexed,3.0,,,,,,,
he,109.0,,,,,,,
Has,1.0,,,,,,,
?,62.0,,,,1.0,,,
However,9.0,,,,,,,
far,19.0,,,,,,,
restricted,2.0,3.0,,,,,,
long,22.0,,,,,1.0,,
way,27.0,,,,,,,
go,14.0,,,,,,,
achieve,5.0,,,,,,,
aim,5.0,,,,,,,
by,157.0,,,,,,1.0,
reaching,2.0,,,,,,,
battle,4.0,,,,,,,
As,20.0,,,,,,,
trying,15.0,,,,,,,
widen,3.0,,,,,,,
bringing,2.0,,,,,,,
reinforcements,2.0,,,,,,,
into,40.0,,,,,,,
including,31.0,,,,,,,
best,12.0,,,,,,,
trained,5.0,,,,,,,
had,75.0,,,,,,,
previously,7.0,,,,,,,
deployed,19.0,,,,,,,
elsewhere,2.0,,,,,,,
Defence,15.0,,5.0,,5.0,,,
redeployments,1.0,,,,,,,
paratroop,1.0,,,,,,,
formations,1.0,,,,,,,
known,6.0,,,,,,,
probably,4.0,,,,,,,
weakened,2.0,,,,,,,
eastern,5.0,6.0,,,,,,
endured,1.0,,,,,,,
heaviest,1.0,,,,,,,
fighting,9.0,,,,,,,
war,54.0,1.0,,,,,,
It,51.0,,,,,,,
under,27.0,,,,,,,
control,14.0,,,,,,,
months,6.0,,,,,,2.0,
gained,2.0,,,,,,,
ground,20.0,2.0,,1.0,1.0,1.0,,
surrounding,1.0,,,,,,,
areas,15.0,2.0,,,,,,
MoD,1.0,,,,1.0,,,
now,42.0,,,,,,,
secured,1.0,,,,,,,
villages,1.0,4.0,,,,,,
about,62.0,,,,,,,
8km,1.0,,,,,,,
five,15.0,,,,,,,
south,9.0,1.0,,,,,,
Attacks,2.0,,,,,,,
stepped,2.0,,,,,,,
up,26.0,,,,,,,
peninsula,2.0,,,,,,,
past,10.0,,,,,,,
month,6.0,,,,,,1.0,
attack,30.0,,,3.0,,1.0,,
port,3.0,2.0,,,,,,
22,1.0,,,,,,3.0,
killed,22.0,,,,,,,
34,2.0,,,,,,,
officers,8.0,,,,,,,
initially,3.0,,,,,,,
claimed,6.0,,,,,,,
included,12.0,,,,,,,
commander,20.0,,3.0,,,,,
Fleet,1.0,2.0,1.0,,34.0,,,
later,8.0,,,,,,1.0,
released,3.0,,,,,,,
video,5.0,,,,,,,
said,164.0,,,,,,,
was,201.0,,,,,,,
filmed,3.0,,,,,,,
days,19.0,,,,,,2.0,
later.,1.0,,,,,,,
That,19.0,,,,,,,
came,9.0,,,,,,,
over,31.0,,,,,,,
week,17.0,,,,,,2.0,
major,9.0,,,,,,,
same,15.0,,,,,,,
headquarters,6.0,4.0,,,2.0,,,
fleet,4.0,,,1.0,4.0,,,
using,12.0,,,,,,,
cruise,2.0,,,,,3.0,,
supplied,4.0,,,,,,,
thought,1.0,,,,,,,
destroyed,7.0,1.0,,1.0,,,,
ship,4.0,,,2.0,,,,
caused,3.0,,,,,,,
significant,5.0,,,,,,,
damage,4.0,,,,,,,
dry,1.0,,,,,,,
docks,1.0,,,,,,,
vital,11.0,,,,,,,
maintenance,12.0,,,,,,,
entire,4.0,,,,,,,
next,22.0,,,,,,1.0,
day,9.0,,,,,,,
succeeded,1.0,,,,,,,
destroying,2.0,,,,,,,
sophisticated,2.0,,,,,,,
air,13.0,,,4.0,1.0,1.0,,
defence,9.0,,1.0,2.0,1.0,,,
system,6.0,,,4.0,,,,
peninsular.,1.0,,,,,,,
late,4.0,,,,,,2.0,
another,22.0,,,,,,,
others,10.0,,,,,,,
knocked,2.0,,,,,,,
out,51.0,,,,,,,
offshore,1.0,,,,,,,
gas,2.0,,,,,,,
platforms,3.0,,,,,,,
target,8.0,,,,,,,
seen,15.0,,,,,,,
flagship,1.0,,,,,,,
unit,13.0,,,,1.0,,,
navy,1.0,,,,2.0,,,
ships,13.0,,,,,,,
launched,10.0,,,,,,,
causing,5.0,,,,,,,
devastating,4.0,,,,,,,
threatening,3.0,,,,,,,
block,4.0,,,,,,,
shipping,6.0,1.0,,,,,,
routes,1.0,1.0,,,,,,
particular,5.0,,,,,,,
sticking,1.0,,,,,,,
currently,3.0,,,,,,,
pulled,3.0,,,,,,,
internationally,3.0,,,,,,,
brokered,1.0,,,,,,,
Grain,1.0,,,,,,,
Initiative,3.0,,,,1.0,,,
mid-July,1.0,,,,,,,
guaranteeing,1.0,,,,,,,
safe,2.0,,,,,,,
passage,2.0,,,,,,,
non-military,1.0,,,,,,,
vessels,17.0,,,,,,,
arguing,2.0,,,,,,,
own,22.0,,,,,,,
agricultural,1.0,,,,,,,
exporters,1.0,,,,,,,
were,83.0,,,,,,,
being,25.0,,,,,,,
disadvantaged,1.0,,,,,,,
Is,2.0,,,,,,,
retake,1.0,,,,,,,
Since,11.0,,,,,,,
only,43.0,,,,,,,
handful,1.0,,,,,,,
able,19.0,,,,,,,
sail,1.0,,,,,,,
such,27.0,,,,,,,
with,268.0,,,,,,,
large,6.0,1.0,,,,,,
shipment,1.0,,,,,,,
leaving,2.0,,,,,,,
Development,1.0,,,,1.0,,,
65,2.0,,,,,,,
%,4.0,,,,,,,
exports,1.0,,,,,,,
going,30.0,,,,,,,
then,22.0,,,,,,,
transported,1.0,,,,,,,
river,4.0,1.0,,,,,,
canals,1.0,,,,,,,
via,4.0,,,,,,,
In,40.0,,,,,,,
theory,2.0,,,,,,,
safer,3.0,,,,,,,
entering,1.0,,,,,,,
mouth,1.0,,,,,,,
immediately,2.0,,,,,,,
enter,1.0,,,,,,,
territorial,4.0,1.0,,,,,,
waters,8.0,2.0,,,,,,
But,55.0,,,,,,,
attacking,1.0,,,,,,,
forms,4.0,,,,,,,
border,5.0,4.0,,,1.0,,,
added,8.0,,,,,,,
geopolitical,3.0,,,,,,,
dimension,1.0,,,,,,,
least,12.0,,,,,,,
one,72.0,,,,,,,
exploding,1.0,,,,,,,
across,21.0,,,,,,,
inside,11.0,,,,,,,
threaten,4.0,,,,,,,
economic,9.0,,,,,,,
lifeline,1.0,,,,,,,
More,8.0,,,,,,,
than,70.0,,,,,,,
year,26.0,,,,,,6.0,
invasion,22.0,,,,1.0,,,
dozens,5.0,,,,,,,
strikes,10.0,,,,,,,
cities,2.0,1.0,,,,,,
before,27.0,,,,,,,
dawn,1.0,,,,,,,
24,2.0,,,,,,2.0,
quickly,4.0,,,,,,,
within,17.0,,,,,,1.0,
few,9.0,,,,,,1.0,
advanced,5.0,,,,,,,
bombarding,1.0,,,,,,,
taken,7.0,,,,,,,
territory,6.0,2.0,,,,,,
east,2.0,,,,,,,
surrounded,1.0,,,,,,,
hit,8.0,,,,,,,
very,38.0,,,,,,,
strong,10.0,,,,,,,
resistance,3.0,,,,,,,
almost,3.0,,,,,,,
everywhere,3.0,,,,,,,
faced,3.0,,,,,,,
serious,1.0,,,,,,,
logistical,2.0,,,,,,,
problems,4.0,,,,,,,
poorly,1.0,,,,,,,
motivated,1.0,,,,,,,
suffering,1.0,,,,,,,
shortages,2.0,,,,,,,
food,5.0,,,,,1.0,,
water,21.0,,,,,,,
ammunition,3.0,,,,,2.0,,
quick,3.0,,,,,,,
deploy,2.0,,,,,,,
Western,9.0,2.0,1.0,,4.0,,,
arms,8.0,,,2.0,,,,
proved,1.0,,,,,,,
highly,5.0,,,,,,,
effective,10.0,,,,,,,
By,4.0,,,,,,,
picture,1.0,,,,,,,
changed,5.0,,,,,,,
dramatically,4.0,,,,,,,
having,10.0,,,,,,,
failed,4.0,,,,,,,
take,25.0,,,,,,,
withdrew,1.0,,,,,,,
completely,8.0,,,,,,,
north,4.0,1.0,,,,,,
hoping,4.0,,,,,,,
can,81.0,,,,,,,
turn,6.0,,,,,,,
favour,3.0,,,,,,,
About,3.0,,,,,,,
these,36.0,,,,,,,
To,5.0,,,,,,,
indicate,1.0,,,,,,,
parts,12.0,,,,,,,
we,165.0,,,,,,,
assessments,1.0,,,,,,,
published,2.0,,,,,,,
American,3.0,,,,2.0,,,
Critical,1.0,,,,,,,
Threats,1.0,,,,,,,
Project.,1.0,,,,,,,
show,7.0,,,,,,,
key,15.0,,,,,,,
where,41.0,,,,,,,
taking,8.0,,,,,,,
place,12.0,,,,,,,
updates,1.0,,,,,,,
research,1.0,,,,1.0,,,
situation,12.0,,,,,,,
often,15.0,,,,,,,
fast,3.0,,,4.0,,,,
moving,5.0,,,,,,,
likely,5.0,,,,,,,
there,54.0,,,,,,,
will,143.0,,,,,,,
times,4.0,,,,,,,
when,43.0,,,,,,,
changes,2.0,,,,,,,
reflected,2.0,,,,,,,
British,9.0,,,2.0,4.0,,,
military,62.0,,1.0,8.0,27.0,2.0,,
disposal,2.0,,,4.0,,,,
teams,7.0,,,1.0,,,,
training,41.0,1.0,,1.0,,,,
engineers,3.0,,,,1.0,,,
clear,23.0,,,,,,,
heavily,4.0,,,,,,,
mined,2.0,,,,,,,
world,16.0,1.0,,,1.0,,,
slowing,1.0,,,,,,,
down,22.0,,,,,,,
advances.,1.0,,,1.0,,,,
combat,9.0,,,,,,,
whom,3.0,,,,,,,
similar,4.0,,,,,,,
specifically,2.0,,,,,,,
requested,2.0,,,,,,,
news,4.0,,,,4.0,,,
organisation,4.0,,,,,,,
visit,18.0,,,,,,,
base,4.0,5.0,,1.0,,,,
Most,4.0,,,,,,,
like,27.0,,,,,,,
already,18.0,,,,,,,
battle-hardened,1.0,,,,,,,
experienced.,2.0,,,,,,,
He,16.0,,,,,,,
volunteered,1.0,,,,,,,
fight,11.0,,,,,,,
full-scale,4.0,,,,,,,
This,40.0,,,,,,,
brief,1.0,,,,,,,
left,3.0,,,,,,,
passenger,1.0,,,1.0,,,,
flying,4.0,,,,,,,
overhead,2.0,,,,,,,
nearly,7.0,,,,,,1.0,
two,41.0,,,,,,1.0,
years,31.0,,,,,,5.0,
calls,5.0,,,,,,,
dangerous,3.0,,,,,,,
job,7.0,,,,,,,
world.,1.0,,,,,,,
We,59.0,,,,,,,
need,24.0,,,,,,,
more,99.0,,,,,,,
do,58.0,,,,,,,
n't,37.0,,,,,,,
enough,12.0,,,,,,,
them,41.0,,,,,,,
I,108.0,,,,,,,
ask,2.0,,,,,,,
him,14.0,,,,,,,
lost,6.0,,,,,,,
friends,1.0,,,,,,,
doing,6.0,,,,,,,
work.,1.0,,,,,,,
His,11.0,,2.0,,,,,
eyes,1.0,,,,,,,
well,29.0,,,,,,,
tears,1.0,,,,,,,
nods,1.0,,,,,,,
appreciates,1.0,,,,,,,
help,25.0,,,,,,,
given,7.0,,,,,,,
his,83.0,,,,,,,
brothers,1.0,,,,,,,
still,27.0,,,,,,,
needs,11.0,,,,,,,
ca,7.0,,,,,,,
our,156.0,,,,1.0,,,
even,15.0,,,,,,,
ended,3.0,,,,,,,
hundreds,7.0,,,,,,,
laid.,1.0,,,,,,,
producing,1.0,,,,,,,
laying,2.0,,,,,,,
industrial,2.0,,,,,,,
scale,5.0,,,,,,,
They,22.0,,,,,,,
're,25.0,,,,,,,
scattered,1.0,,,,,,,
size,2.0,,,,,,,
;,34.0,,,,,,,
10km,3.0,,,,,,,
6.2,1.0,,,,,,,
deep.,1.0,,,,,,,
Just,5.0,,,,,,,
square,8.0,,,,,,,
metre,2.0,,,,,,,
contain,1.0,,,,,,,
many,28.0,,,,,,,
Image,14.0,,,,,,,
caption,13.0,,,,,,,
shown,5.0,,,,,,,
how,49.0,,,,,,,
safely,2.0,,,,,,,
20,7.0,,,,,,1.0,1.0
dummy,1.0,,,,,,,
devices,4.0,,,,,,,
buried,4.0,,,,,,,
booby-trapped,2.0,,,,,,,
small,14.0,,,1.0,,1.0,,
team,17.0,,,1.0,2.0,,,
field.,1.0,,,,,,,
experts,6.0,,,,2.0,,,
testing,2.0,,,,,,,
Ukrainians,16.0,,,,,,,
',11.0,,,,1.0,1.0,,
skills,11.0,,,,,,,
course,12.0,,,,,,,
nears,1.0,,,,,,,
end,12.0,,,,,,1.0,
Among,3.0,,,,,,,
've,14.0,,,,,,,
hidden,5.0,,,,,,,
smaller,2.0,,,,,,,
ones,3.0,,,,,,,
pop,1.0,,,,,,,
spread,4.0,,,,,,,
shrapnel,1.0,,,,,,,
wide,5.0,,,,,,,
fitted,1.0,,,,,,,
trip,4.0,,,,,,,
wire,1.0,,,,,,,
Those,4.0,,,,,,,
display,1.0,,,,,,,
include,10.0,,,,,,,
butterfly,1.0,,,1.0,,,,
designed,9.0,,,,,,,
maim,1.0,,,,,,,
triggered,2.0,,,,,,,
vibration,1.0,,,,,,,
rather,3.0,,,,,,,
direct,5.0,,,,,,,
contact,2.0,,,,,,,
themselves,4.0,,,,,,,
avoid,9.0,,,,,,,
detection.,1.0,,,,,,,
decades,7.0,,,,,,,
plan,9.0,,,,,,,
produce,2.0,,,,,,,
prepare,3.0,,,,,,,
causes,6.0,,,,,,,
casualties,3.0,,,,,,,
injuries,3.0,,,,,,,
who,63.0,,,,,,,
four,12.0,,,,,,1.0,
10,7.0,,,,,,4.0,
members,21.0,,,,2.0,,,
team.,1.0,,,,,,,
deal,9.0,,,,,,,
100,3.0,,,,,,,
day.,1.0,,,,,,,
range,11.0,,,,,1.0,,
fire,4.0,,,2.0,,1.0,,
Staff,1.0,,8.0,,2.0,,,
teaching,3.0,,,,,,,
gold,2.0,,,,,,,
standard,4.0,,,,,,,
clearanceThat,1.0,,,,,,,
reasons,1.0,,,,,,,
why,9.0,,,,,,,
mostly,2.0,,,,,,,
work,37.0,,,,,,,
night.,1.0,,,,,,1.0,
deliberately,1.0,,,,,,,
targeted,8.0,,,,,,,
advance.,1.0,,,,,,,
When,8.0,,,,,,,
higher,5.0,,,,,,,
risks.,1.0,,,,,,,
always,18.0,,,,,,,
see,18.0,,,,,,,
booby,2.0,,,,,,,
trapped,1.0,,,,,,,
clearance,1.0,,,,,,,
involves,1.0,,,,,,,
patience,2.0,,,,,,,
If,16.0,,,,,,,
your,16.0,,,,,,,
immediate,2.0,,,,,,,
threat,19.0,,,,,1.0,,
gunfire,1.0,,,,,,,
you,127.0,,,,,,,
methodical,2.0,,,,,,,
evolving,1.0,,,,,,,
norm,1.0,,,,,,,
find,11.0,,,,,,,
bodies,6.0,,,,,,,
dead,6.0,,,,,,,
liberated,2.0,,,,,,,
territory.,1.0,,,,,,,
placing,1.0,,,,,,,
top,14.0,,2.0,,,,,
each,15.0,,,,,,,
other,47.0,,,,,,,
cause,2.0,,,,,,,
larger,4.0,,,,,1.0,,
explosions,1.0,,,,,,,
Smaller,1.0,,,,,,,
placed,4.0,,,,,,,
vehicle,1.0,,,1.0,,1.0,,
trigger,1.0,,,,,,,
grass,1.0,,,,,,,
Russians,9.0,,,,,,,
hang,1.0,,,,,,,
trees,1.0,,,,,,,
hooks,1.0,,,,,,,
attached,1.0,,,,,,,
try,5.0,,,,,,,
snag,1.0,,,,,,,
uniforms,1.0,,,,,,,
advancing,3.0,,,1.0,,,,
Clearing,1.0,,,,,,,
path,3.0,,,,,,,
deadly,1.0,,,,,,,
traps,1.0,,,1.0,,,,
laborious.,1.0,,,,,,,
use,14.0,,,,,,,
Vallons,2.0,,,,,,,
look,9.0,,,,,,,
metal,1.0,,,,,,,
detectors,1.0,,,,,,,
path.,1.0,,,,,,,
provided,19.0,,,,,,,
"1,500",3.0,,,,,,,
them.,3.0,,,,,,,
Vallon,1.0,,,,,,,
squawks,1.0,,,,,,,
get,20.0,,,,,,,
knees,1.0,,,,,,,
stomachs,1.0,,,,,,,
identify,3.0,,,,,,,
threat.,2.0,,,,,,,
painstaking,1.0,,,,,,,
hand,3.0,,,,,1.0,,
admires,1.0,,,,,,,
ants,1.0,,,,,,,
crawling,1.0,,,,,,,
spotting,1.0,,,,,,,
wire.,1.0,,,,,,,
You,16.0,,,,,,,
guys,2.0,,,,,,,
hard,7.0,,,,,,,
laughs,1.0,,,,,,,
trainers,1.0,,,,,,,
comment,3.0,,,,,,,
speed,1.0,,,,,,,
Ukrainians.,1.0,,,,,,,
quick.,1.0,,,,,,,
slow.,1.0,,,,,,,
miss,1.0,,,,,,,
much,30.0,,,,,,,
Their,4.0,,,,,,,
impressive,2.0,,,,,,,
kit,2.0,,,,,,,
used,10.0,,,,,,,
pathMaking,1.0,,,,,,,
device,4.0,,,,,,,
biggest,2.0,,,,,,,
challenge.,1.0,,,,,,,
familiar,2.0,,,,,,,
types,5.0,,,,,,,
invasion.,3.0,,,,,,,
quite,3.0,,,,,,,
easy,6.0,,,,,,,
disarm,1.0,,,,,,,
making,14.0,,,,,,,
difficult,5.0,,,,,,,
instructors,2.0,,,,1.0,,,
liken,1.0,,,,,,,
solving,1.0,,,,,,,
puzzle,1.0,,,,,,,
or,94.0,2.0,,,,,,
game,2.0,,,,,,,
chess,1.0,,,,,,,
real,5.0,,,,,,,
challenge,5.0,,,,,,,
there.,4.0,,,,,,,
deliberate,2.0,,,,,,,
draw,2.0,,,,,,,
trapped.,1.0,,,,,,,
leads,2.0,,,,,,,
character,1.0,,,,,,,
traits,1.0,,,,,,,
needed,9.0,,,,,,,
someone,2.0,,,,,,,
think,24.0,,,,1.0,,,
understand,11.0,,,,,,,
problem-solving,2.0,,,,,,,
while,23.0,,,,,,,
retaining,1.0,,,,,,,
composure,1.0,,,,,,,
started,5.0,,,,,,,
Each,5.0,,,,,,,
includes,13.0,,,,,,,
dozen,5.0,,,,,,,
tells,5.0,,,,,,,
high,10.0,,,,,,,
demand,1.0,,,,,,,
back,11.0,,,,,,,
front,27.0,2.0,,,,,,
line.,7.0,,,,,,,
defences.,1.0,,,,,,,
yet,4.0,,,,,,,
trenches,1.0,,,3.0,,,,
stand,7.0,,,,,,,
way.,2.0,,,,,,,
know,50.0,,,,,,,
task,2.0,,,21.0,2.0,,,
ahead.,1.0,,,,,,,
no,38.0,,,,,,,
choice,1.0,,,,,,,
Unfortunately,1.0,,,,,,,
lose,4.0,,,,,,,
process,6.0,,,,,,,
At,15.0,,,,,,,
hope,6.0,,,,,,,
save,2.0,,,,,,,
lives,7.0,,,,,,,
generals,2.0,,3.0,,,,,
south.,3.0,,,,,,,
assessed,4.0,,,,,,,
really,12.0,,,,,,,
progressed,2.0,,,,,,,
what,60.0,,,,,,,
signs,2.0,,,,,,,
further,21.0,,,,,,,
breakthroughs,1.0,,,,,,,
along,15.0,,,,,,,
frontline,1.0,2.0,,,,,,
big,5.0,,,,,1.0,,
early,10.0,,,,,,2.0,
land,6.0,1.0,,,,,,
seized.,2.0,,,,,,,
attacked,4.0,,,,,,,
three,29.0,,,,,,,
points,9.0,,,,,,,
600-mile-plus,1.0,,,,,,,
965km,1.0,,,,,,,
frontline.,1.0,,,,,,,
Striking,1.0,,,,,,,
direction,5.0,,,,,,,
towards,5.0,,,,,,,
There,16.0,,,,,,,
except,1.0,,,,,,,
highlighted,5.0,,,,,,,
purple,1.0,,,,,,,
map,3.0,,,,,,,
above,1.0,,,,,,,
sever,1.0,,,,,,,
main,10.0,,,,,,,
route,1.0,,,,,,,
Despite,5.0,,,,,,,
sightings,1.0,,,,,,,
breaching,2.0,,,,,,,
structures,2.0,,,1.0,,,,
verified,1.0,,,,,,,
nine,3.0,,,,,,,
social,7.0,,,,,,,
media,10.0,,,,,,,
videos,3.0,,,,,,,
Four,2.0,,,,,,,
incursions,1.0,,,,,,,
managed,7.0,,,,,,,
So,32.0,,,,,,,
getting,9.0,,,,,,,
seeing,2.0,,,,,,,
columns,1.0,,,,,,,
pouring,1.0,,,,,,,
exploiting,3.0,,,,,,,
gap,4.0,,,,,,,
holding,3.0,,,,,,,
taken.,1.0,,,,,,,
What,13.0,,,,,,,
stopping,2.0,,,,,,,
faster,3.0,,,,,,,
saw,3.0,,,,,,,
counter,7.0,,,,,,,
coming,5.0,,,,,,1.0,
ago,10.0,,,,,,2.0,
spent,5.0,,,,,,,
building,18.0,,,,,,,
formidable,2.0,,,,,,,
layered,1.0,,,,,,,
depth.,1.0,,,,,,,
space,7.0,,,,,,,
interlocking,1.0,,,,,,,
covered,2.0,,,,,,,
Its,3.0,,,,,,,
so-called,4.0,,,,,,,
concrete,1.0,,,,,,,
Vast,1.0,,,,,,,
slowed,1.0,,,,,,,
These,8.0,,,,,,,
intensely,2.0,,,,,,,
packed,3.0,,,,,,,
places,1.0,,,,,,,
laid,4.0,,,,,,,
attempt,3.0,,,,,,,
charge,3.0,,,,,,,
failure,4.0,,,,,,,
modern,9.0,,,,,,,
Western-supplied,1.0,,,,,,,
armour,1.0,,,,,,,
crippled,1.0,,,,,,,
burning.,1.0,,,,,,,
similarly,1.0,,,,,,,
unstuck,1.0,,,,,,,
horrific,1.0,,,,,,,
resort,3.0,,,,,,,
clearing,4.0,,,,,,,
foot,1.0,,,,,,,
night,4.0,,,,,,1.0,
sometimes,5.0,,,,,,,
fire.,1.0,,,,,,,
Hence,1.0,,,,,,,
date,5.0,,,,,,,
vulnerable,4.0,,,,,,,
analysed,4.0,,,,,,,
Verify,1.0,,,,,,,
shows,11.0,,,,,,,
British-supplied,1.0,,,,,,,
tank,1.0,,,4.0,2.0,,,
got,8.0,,,,,,,
forward,15.0,,,,,,,
numbers,3.0,,,,,,,
once,9.0,,,,,,,
sufficiently,1.0,,,,,,,
cleared,1.0,,,,,,,
subdued,1.0,,,,,,,
problem,6.0,,,,,,,
opening,4.0,,,,,,,
dynamic,3.0,,,,,,,
reverse,2.0,,,,,,,
gains,4.0,,,,,,,
geolocated,1.0,,,,,,,
backs,2.0,,,,,,,
reports,8.0,,,,,,,
elite,1.0,,,2.0,,,,
close,19.0,,,,,,,
town,4.0,3.0,,,,,,
move,11.0,,,,,,,
aimed,6.0,,,,,,,
plugging,1.0,,,,,,,
any,30.0,,,,,,,
gaps,2.0,,,,,,,
created,2.0,,,,,,,
continue,32.0,,,,,,,
face,12.0,,,,,,,
battlefield,6.0,,,,,,,
analyst,3.0,,,,,,,
Alongside,1.0,,,,,,,
extensively,2.0,,,,,,,
electronic,4.0,,,,,,,
warfare,4.0,,,,,,,
measures,5.0,,,,,,,
impede,1.0,,,,,,,
signals,3.0,,,,,,,
usage,1.0,,,,,,,
barely,1.0,,,,,,,
coast,5.0,2.0,,,,,,
reality,4.0,,,,,,,
nuanced,1.0,,,,,,,
exhausted,1.0,,,,,,,
possibly,1.0,,,,,,,
demoralised,1.0,,,,,,,
sustaining,1.0,,,,,,,
intensive,2.0,,,,,,,
long-range,2.0,,,,,,,
targeting,6.0,,,,,,,
break,1.0,,,,,,,
remaining,6.0,,,,,,,
reach,6.0,,,,,,,
bring,6.0,,,,,,,
rail,2.0,,,,,,,
road,5.0,,,,,,,
offensive,4.0,,,,,,,
judged,1.0,,,,,,,
qualified,1.0,,,,,,,
success,8.0,,,,,,,
drag,1.0,,,,,,,
perhaps,3.0,,,,,,,
longer,5.0,,,,,,,
seriously,1.0,,,,,,,
undermine,1.0,,,,,,,
