,Correct,Incorrect,Count,Label
into,100.0,0.0,38,O
region,100.0,0.0,31,O
including,100.0,0.0,31,O
best,100.0,0.0,12,O
trained,100.0,0.0,4,O
soldiers,100.0,0.0,12,MilitaryPlatform
had,100.0,0.0,58,O
previously,100.0,0.0,6,O
deployed,100.0,0.0,18,O
elsewhere,100.0,0.0,2,O
The UK Ministry of Defence,100.0,0.0,1,Person
redeployments,100.0,0.0,1,O
formations,100.0,0.0,1,O
known,100.0,0.0,5,O
VDV,100.0,0.0,2,Organisation
probably,100.0,0.0,4,O
weakened,100.0,0.0,2,O
eastern,100.0,0.0,5,O
endured,100.0,0.0,1,O
heaviest,100.0,0.0,1,O
fighting,100.0,0.0,9,O
war,100.0,0.0,50,O
It,100.0,0.0,44,O
under,100.0,0.0,22,O
control,100.0,0.0,14,O
months,100.0,0.0,6,O
gained,100.0,0.0,2,O
ground,100.0,0.0,20,O
surrounding,100.0,0.0,1,O
areas,100.0,0.0,15,O
MoD,100.0,0.0,1,O
says,100.0,0.0,32,O
now,100.0,0.0,42,O
secured,100.0,0.0,1,O
the villages of Klishchiivka,100.0,0.0,1,Location
Andriivka,100.0,0.0,1,Location
about,100.0,0.0,60,O
8km,100.0,0.0,1,O
five,100.0,0.0,15,O
south,100.0,0.0,9,O
Attacks,100.0,0.0,2,O
Crimea Ukraine,100.0,0.0,1,Location
stepped,100.0,0.0,2,O
up,100.0,0.0,26,O
attacks,100.0,0.0,16,O
Crimean,100.0,0.0,2,Location
past,100.0,0.0,10,O
month,100.0,0.0,6,O
missile,100.0,0.0,18,Weapon
the port of Sevastopol,100.0,0.0,1,Location
22 September,100.0,0.0,1,Temporal
killed,100.0,0.0,19,O
34,100.0,0.0,2,O
officers,100.0,0.0,7,O
initially,100.0,0.0,3,O
claimed,100.0,0.0,2,O
included,100.0,0.0,10,O
commander,100.0,0.0,18,O
Russia 's Black Sea Fleet,100.0,0.0,1,Organisation
Moscow,100.0,0.0,10,Organisation
released,100.0,0.0,3,O
video,100.0,0.0,4,O
Viktor Sokolov,100.0,0.0,1,Person
said,100.0,0.0,108,O
was,100.0,0.0,159,O
filmed,100.0,0.0,3,O
days,100.0,0.0,19,O
later.,100.0,0.0,1,O
That,100.0,0.0,15,O
attack,100.0,0.0,27,O
came,100.0,0.0,7,O
over,100.0,0.0,27,O
week,100.0,0.0,17,O
after,100.0,0.0,22,O
major,100.0,0.0,9,O
same,100.0,0.0,15,O
headquarters,100.0,0.0,3,O
fleet,100.0,0.0,3,O
using,100.0,0.0,10,O
cruise missiles,100.0,0.0,1,Weapon
the UK,100.0,0.0,8,Organisation
France,100.0,0.0,6,Location
thought,100.0,0.0,1,O
destroyed,100.0,0.0,5,O
a ship,100.0,0.0,1,MilitaryPlatform
a submarine,100.0,0.0,1,MilitaryPlatform
caused,100.0,0.0,3,O
significant,100.0,0.0,5,O
damage,100.0,0.0,4,O
dry,100.0,0.0,1,O
docks,100.0,0.0,1,O
vital,100.0,0.0,11,O
maintenance,100.0,0.0,9,O
entire,100.0,0.0,4,O
Black Sea fleet,100.0,0.0,3,Organisation
next,100.0,0.0,21,O
day,100.0,0.0,9,O
succeeded,100.0,0.0,1,O
destroying,100.0,0.0,2,O
sophisticated,100.0,0.0,2,O
air defence system,100.0,0.0,1,MilitaryPlatform
the S-400,100.0,0.0,1,MilitaryPlatform
peninsular.,100.0,0.0,1,O
late August,100.0,0.0,1,Temporal
another,100.0,0.0,20,O
S-400,100.0,0.0,1,MilitaryPlatform
others,100.0,0.0,10,O
knocked,100.0,0.0,2,O
out,100.0,0.0,47,O
radar,100.0,0.0,1,MilitaryPlatform
offshore,100.0,0.0,1,O
gas,100.0,0.0,2,O
platforms,100.0,0.0,3,O
Russia 's Black Sea fleet,100.0,0.0,1,Organisation
target,100.0,0.0,8,O
Kyiv,100.0,0.0,23,Location
seen,100.0,0.0,15,O
flagship,100.0,0.0,1,O
unit,100.0,0.0,11,O
Russia 's navy,100.0,0.0,1,Organisation
ships,100.0,0.0,12,O
launched,100.0,0.0,10,O
missiles,100.0,0.0,4,Weapon
devastating,100.0,0.0,3,O
threatening,100.0,0.0,3,O
block,100.0,0.0,4,O
the Black Sea shipping routes,100.0,0.0,1,Location
particular,100.0,0.0,5,O
sticking,100.0,0.0,1,O
internationally,100.0,0.0,3,O
brokered,100.0,0.0,1,O
Black Sea,100.0,0.0,2,Location
Initiative,100.0,0.0,3,O
mid-July,100.0,0.0,1,O
guaranteeing,100.0,0.0,1,O
safe,100.0,0.0,2,O
passage,100.0,0.0,2,O
non-military,100.0,0.0,1,O
vessels,100.0,0.0,16,O
arguing,100.0,0.0,2,O
agricultural,100.0,0.0,1,O
exporters,100.0,0.0,1,O
were,100.0,0.0,64,O
being,100.0,0.0,25,O
disadvantaged,100.0,0.0,1,O
Is,100.0,0.0,2,O
retake,100.0,0.0,1,O
Since,100.0,0.0,8,O
only,100.0,0.0,42,O
handful,100.0,0.0,1,O
able,100.0,0.0,19,O
sail,100.0,0.0,1,O
from,100.0,0.0,186,O
Ukraine 's Black Sea ports,100.0,0.0,1,Location
Odesa,100.0,0.0,1,Location
with,100.0,0.0,242,O
large,100.0,0.0,5,O
shipment,100.0,0.0,1,O
leaving,100.0,0.0,2,O
Chornomorsk,100.0,0.0,1,Location
south of Odesa,100.0,0.0,1,Location
Turkey,100.0,0.0,20,Location
Drone,100.0,0.0,1,MilitaryPlatform
Danube ports The UK 's Agriculture and Horticulture Development Board,100.0,0.0,1,Organisation
AHDB,100.0,0.0,1,Organisation
65,100.0,0.0,2,O
%,100.0,0.0,4,O
exports,100.0,0.0,1,O
going,100.0,0.0,30,O
the ports of Izmail,100.0,0.0,1,Location
Reni,100.0,0.0,1,Location
Danube.,100.0,0.0,1,Location
then,100.0,0.0,21,O
transported,100.0,0.0,1,O
river,100.0,0.0,4,O
canals,100.0,0.0,1,O
the Black Sea,100.0,0.0,3,Location
via,100.0,0.0,3,O
the Romanian seaports of Sulina,100.0,0.0,1,Location
Constanta,100.0,0.0,1,Location
In,100.0,0.0,35,O
theory,100.0,0.0,2,O
safer,100.0,0.0,3,O
entering,100.0,0.0,1,O
mouth,100.0,0.0,1,O
immediately,100.0,0.0,2,O
enter,100.0,0.0,1,O
Romanian territorial waters,100.0,0.0,1,Location
But,100.0,0.0,50,O
attacking,100.0,0.0,1,O
Ukraine 's Danube ports,100.0,0.0,1,Location
drones.,100.0,0.0,2,MilitaryPlatform
the River Danube,100.0,0.0,1,Location
Ukraine 's border,100.0,0.0,1,Location
Nato,100.0,0.0,2,Organisation
added,100.0,0.0,6,O
geopolitical,100.0,0.0,3,O
dimension,100.0,0.0,1,O
least,100.0,0.0,12,O
one,100.0,0.0,72,O
exploding,100.0,0.0,1,O
across,100.0,0.0,20,O
Izmail,100.0,0.0,1,Location
inside,100.0,0.0,11,O
Romania,100.0,0.0,3,Location
drones,100.0,0.0,11,MilitaryPlatform
lifeline,100.0,0.0,1,O
More,100.0,0.0,7,O
than,100.0,0.0,69,O
year,100.0,0.0,26,O
dozens,100.0,0.0,5,O
cities,100.0,0.0,2,O
dawn,100.0,0.0,1,O
24 February 2022,100.0,0.0,1,Temporal
Russian ground troops,100.0,0.0,1,MilitaryPlatform
quickly,100.0,0.0,3,O
within,100.0,0.0,15,O
few,100.0,0.0,9,O
advanced,100.0,0.0,5,O
the suburbs of Kyiv,100.0,0.0,1,Location
Russian forces,100.0,0.0,11,Organisation
bombarding,100.0,0.0,1,O
Kharkiv,100.0,0.0,7,Location
taken,100.0,0.0,7,O
territory,100.0,0.0,6,O
east,100.0,0.0,2,O
Kherson,100.0,0.0,1,Location
surrounded,100.0,0.0,1,O
hit,100.0,0.0,7,O
very,100.0,0.0,38,O
strong,100.0,0.0,10,O
resistance,100.0,0.0,3,O
almost,100.0,0.0,3,O
everywhere,100.0,0.0,3,O
faced,100.0,0.0,3,O
serious,100.0,0.0,1,O
logistical,100.0,0.0,2,O
problems,100.0,0.0,4,O
poorly,100.0,0.0,1,O
motivated,100.0,0.0,1,O
Russian troops,100.0,0.0,3,Organisation
shortages,100.0,0.0,2,O
food,100.0,0.0,5,O
water,100.0,0.0,21,O
ammunition,100.0,0.0,3,O
quick,100.0,0.0,3,O
deploy,100.0,0.0,2,O
Western,100.0,0.0,9,O
supplied,100.0,0.0,3,O
arms,100.0,0.0,8,O
such,100.0,0.0,26,O
Nlaw anti-tank system,100.0,0.0,1,MilitaryPlatform
proved,100.0,0.0,1,O
highly,100.0,0.0,5,O
effective,100.0,0.0,10,O
By,100.0,0.0,4,O
October,100.0,0.0,2,Temporal
picture,100.0,0.0,1,O
changed,100.0,0.0,5,O
dramatically,100.0,0.0,3,O
having,100.0,0.0,10,O
failed,100.0,0.0,3,O
take,100.0,0.0,25,O
completely,100.0,0.0,8,O
north,100.0,0.0,4,O
invasion,100.0,0.0,16,O
hoping,100.0,0.0,4,O
can,100.0,0.0,72,O
turn,100.0,0.0,6,O
favour,100.0,0.0,3,O
About,100.0,0.0,3,O
these,100.0,0.0,36,O
To,100.0,0.0,4,O
indicate,100.0,0.0,1,O
parts,100.0,0.0,12,O
daily,100.0,0.0,4,Temporal
published,100.0,0.0,2,O
the Institute for the Study of War,100.0,0.0,1,Organisation
American Enterprise Institute 's,100.0,0.0,1,Organisation
Threats,100.0,0.0,1,O
Project.,100.0,0.0,1,O
show,100.0,0.0,7,O
key,100.0,0.0,15,O
where,100.0,0.0,30,O
taking,100.0,0.0,8,O
place,100.0,0.0,12,O
we,100.0,0.0,161,O
updates,100.0,0.0,1,O
the UK Ministry of Defence,100.0,0.0,2,Organisation
situation,100.0,0.0,12,O
often,100.0,0.0,15,O
fast,100.0,0.0,2,O
moving,100.0,0.0,5,O
likely,100.0,0.0,5,O
there,100.0,0.0,52,O
will,100.0,0.0,112,O
times,100.0,0.0,4,O
when,100.0,0.0,35,O
changes,100.0,0.0,2,O
reflected,100.0,0.0,2,O
Specialist British military bomb disposal teams,100.0,0.0,1,MilitaryPlatform
training,100.0,0.0,41,O
Ukrainian engineers,100.0,0.0,1,Organisation
clear,100.0,0.0,23,O
Russian minefields. Ukraine,100.0,0.0,1,Location
heavily,100.0,0.0,4,O
mined,100.0,0.0,2,O
world,100.0,0.0,16,O
slowing,100.0,0.0,1,O
down,100.0,0.0,20,O
Ukrainian military advances.,100.0,0.0,1,MilitaryPlatform
British Army sappers,100.0,0.0,1,MilitaryPlatform
combat,100.0,0.0,9,O
engineers,100.0,0.0,3,O
whom,100.0,0.0,3,O
similar,100.0,0.0,4,O
Afghanistan,100.0,0.0,3,Location
specifically,100.0,0.0,2,O
requested,100.0,0.0,2,O
The BBC,100.0,0.0,2,Organisation
news,100.0,0.0,4,O
organisation,100.0,0.0,4,O
visit,100.0,0.0,16,O
military,1.5873015873015872,98.4126984126984,63,Organisation
base,100.0,0.0,4,O
Poland,100.0,0.0,9,Location
Most,100.0,0.0,2,O
like,100.0,0.0,27,O
Denys,100.0,0.0,5,Person
already,100.0,0.0,17,O
battle-hardened,100.0,0.0,1,O
experienced.,100.0,0.0,2,O
He,100.0,0.0,15,O
volunteered,100.0,0.0,1,O
fight,100.0,0.0,10,O
February 2022.,100.0,0.0,3,Temporal
brief,100.0,0.0,1,O
left,100.0,0.0,3,O
2021,100.0,0.0,5,Temporal
passenger jets,100.0,0.0,1,MilitaryPlatform
overhead,100.0,0.0,2,O
nearly,100.0,0.0,7,O
two,100.0,0.0,40,O
years,100.0,0.0,31,O
Explosive Ordnance Disposal ( EOD,100.0,0.0,1,Organisation
dangerous,100.0,0.0,3,O
job,100.0,0.0,7,O
world.,100.0,0.0,1,O
We,100.0,0.0,55,O
need,100.0,0.0,23,O
more,100.0,0.0,98,O
sappers,100.0,0.0,3,MilitaryPlatform
do,100.0,0.0,57,O
n't,100.0,0.0,37,O
enough,100.0,0.0,12,O
them,100.0,0.0,41,O
I,100.0,0.0,103,O
ask,100.0,0.0,2,O
him,100.0,0.0,14,O
lost,100.0,0.0,6,O
friends,100.0,0.0,1,O
doing,100.0,0.0,6,O
work.,100.0,0.0,1,O
His,100.0,0.0,9,O
eyes,100.0,0.0,1,O
well,100.0,0.0,29,O
tears,100.0,0.0,1,O
nods,100.0,0.0,1,O
appreciates,100.0,0.0,1,O
help,100.0,0.0,25,O
given,100.0,0.0,7,O
his,100.0,0.0,83,O
British,100.0,0.0,9,O
brothers,100.0,0.0,1,O
needs,100.0,0.0,6,O
Russian minefields.,100.0,0.0,1,MilitaryPlatform
ca,100.0,0.0,7,O
our,100.0,0.0,156,O
own,100.0,0.0,20,O
even,100.0,0.0,14,O
ended,100.0,0.0,3,O
tomorrow,100.0,0.0,1,Temporal
still,100.0,0.0,24,O
hundreds,100.0,0.0,7,O
mines,100.0,0.0,11,Weapon
laid.,100.0,0.0,1,O
producing,100.0,0.0,1,O
laying,100.0,0.0,2,O
industrial,100.0,0.0,2,O
scale,100.0,0.0,5,O
Ukraine.,100.0,0.0,9,Location
're,100.0,0.0,25,O
scattered,100.0,0.0,1,O
size,100.0,0.0,2,O
Florida,100.0,0.0,1,Location
minefields,100.0,0.0,6,MilitaryPlatform
10km,100.0,0.0,3,O
6.2,100.0,0.0,1,O
deep.,100.0,0.0,1,O
Just,100.0,0.0,4,O
square,100.0,0.0,8,O
metre,100.0,0.0,2,O
contain,100.0,0.0,1,O
many,100.0,0.0,28,O
explosives,100.0,0.0,1,Weapon
Image,100.0,0.0,14,O
caption,100.0,0.0,13,O
shown,100.0,0.0,5,O
how,100.0,0.0,48,O
safely,100.0,0.0,2,O
anti-tank,100.0,0.0,1,MilitaryPlatform
anti-personnel,100.0,0.0,2,MilitaryPlatform
bounding minesAt,100.0,0.0,1,MilitaryPlatform
20,100.0,0.0,7,O
dummy,100.0,0.0,1,O
devices,100.0,0.0,4,O
buried,100.0,0.0,4,O
booby-trapped,100.0,0.0,1,O
small,100.0,0.0,14,O
UK training team,100.0,0.0,1,MilitaryPlatform
field.,100.0,0.0,1,O
The British EOD experts,100.0,0.0,1,Organisation
35 Engineer Regiment,100.0,0.0,1,Organisation
testing,100.0,0.0,2,O
Ukrainians,100.0,0.0,16,O
',100.0,0.0,8,O
skills,100.0,0.0,11,O
course,100.0,0.0,12,O
nears,100.0,0.0,1,O
end,100.0,0.0,12,O
Among,100.0,0.0,2,O
've,100.0,0.0,14,O
hidden,100.0,0.0,5,O
cylindrical anti-tank mines,100.0,0.0,1,MilitaryPlatform
smaller,100.0,0.0,2,O
;,100.0,0.0,17,O
bounding mines,100.0,0.0,1,MilitaryPlatform
pop,100.0,0.0,1,O
spread,100.0,0.0,4,O
shrapnel,100.0,0.0,1,O
wide,100.0,0.0,5,O
grenades,100.0,0.0,1,MilitaryPlatform
trip,100.0,0.0,4,O
wire,100.0,0.0,1,O
Those,100.0,0.0,3,O
display,100.0,0.0,1,O
include,100.0,0.0,9,O
butterfly mines,100.0,0.0,1,MilitaryPlatform
maim,100.0,0.0,1,O
triggered,100.0,0.0,2,O
vibration,100.0,0.0,1,O
rather,100.0,0.0,3,O
direct,100.0,0.0,5,O
contact,100.0,0.0,2,O
themselves,100.0,0.0,4,O
avoid,100.0,0.0,9,O
detection.,100.0,0.0,1,O
decades,100.0,0.0,7,O
plan,100.0,0.0,8,O
produce,100.0,0.0,2,O
prepare,100.0,0.0,3,O
weapons,100.0,0.0,13,MilitaryPlatform
causes,100.0,0.0,6,O
casualties,100.0,0.0,3,O
injuries,100.0,0.0,3,O
Ihor,100.0,0.0,3,Person
who,100.0,0.0,56,O
sapper,100.0,0.0,1,MilitaryPlatform
four,100.0,0.0,12,O
10,100.0,0.0,7,O
members,100.0,0.0,21,O
team.,100.0,0.0,1,O
team,100.0,0.0,15,O
deal,100.0,0.0,9,O
100,100.0,0.0,3,O
day.,100.0,0.0,1,O
They,100.0,0.0,18,O
range,100.0,0.0,11,O
Russian artillery,100.0,0.0,1,MilitaryPlatform
Staff Sgt Engstrom,100.0,0.0,1,Person
teaching,100.0,0.0,3,O
gold,100.0,0.0,2,O
standard,100.0,0.0,4,O
mine,100.0,0.0,9,Weapon
reasons,100.0,0.0,1,O
why,100.0,0.0,9,O
mostly,100.0,0.0,2,O
work,100.0,0.0,33,O
night.,100.0,0.0,1,O
Ukrainian sappers,100.0,0.0,1,Organisation
deliberately,100.0,0.0,1,O
targeted,100.0,0.0,5,O
advance.,100.0,0.0,1,O
When,100.0,0.0,8,O
higher,100.0,0.0,5,O
risks.,100.0,0.0,1,O
always,100.0,0.0,18,O
see,100.0,0.0,18,O
booby,100.0,0.0,2,O
trapped,100.0,0.0,1,O
Ihor. Staff Sgt Kevin Engstrom,100.0,0.0,1,Person
involves,100.0,0.0,1,O
patience,100.0,0.0,2,O
If,100.0,0.0,16,O
your,100.0,0.0,16,O
immediate,100.0,0.0,2,O
threat,100.0,0.0,18,O
gunfire,100.0,0.0,1,O
you,100.0,0.0,127,O
methodical,100.0,0.0,2,O
As,100.0,0.0,18,O
evolving,100.0,0.0,1,O
norm,100.0,0.0,1,O
find,100.0,0.0,11,O
bodies,100.0,0.0,6,O
dead,100.0,0.0,6,O
liberated,100.0,0.0,2,O
territory.,100.0,0.0,1,O
placing,100.0,0.0,1,O
anti-tank mines,100.0,0.0,1,Weapon
top,100.0,0.0,10,O
each,100.0,0.0,15,O
other,100.0,0.0,46,O
cause,100.0,0.0,2,O
larger,100.0,0.0,4,O
explosions,100.0,0.0,1,O
Smaller,100.0,0.0,1,O
anti-personnel mines,100.0,0.0,1,Weapon
placed,100.0,0.0,4,O
vehicle mines,100.0,0.0,1,Weapon
trigger,100.0,0.0,1,O
the larger bomb. Trip wires,100.0,0.0,1,Weapon
grass,100.0,0.0,1,O
Russians,100.0,0.0,9,O
hang,100.0,0.0,1,O
trees,100.0,0.0,1,O
hooks,100.0,0.0,1,O
attached,100.0,0.0,1,O
try,100.0,0.0,5,O
snag,100.0,0.0,1,O
uniforms,100.0,0.0,1,O
advancing troops,100.0,0.0,1,MilitaryPlatform
Clearing,100.0,0.0,1,O
path,100.0,0.0,3,O
deadly,100.0,0.0,1,O
traps,100.0,0.0,1,O
laborious.,100.0,0.0,1,O
The Ukrainian sappers,100.0,0.0,1,Organisation
use,100.0,0.0,14,O
Vallons,100.0,0.0,2,O
look,100.0,0.0,9,O
metal,100.0,0.0,1,O
detectors,100.0,0.0,1,O
path.,100.0,0.0,1,O
Britain,100.0,0.0,1,Location
provided,100.0,0.0,15,O
"1,500",100.0,0.0,3,O
them.,100.0,0.0,3,O
Vallon,100.0,0.0,1,O
squawks,100.0,0.0,1,O
the sappers,100.0,0.0,1,MilitaryPlatform
knees,100.0,0.0,1,O
stomachs,100.0,0.0,1,O
identify,100.0,0.0,3,O
threat.,100.0,0.0,2,O
painstaking,100.0,0.0,1,O
hand,100.0,0.0,3,O
ants,100.0,0.0,1,O
crawling,100.0,0.0,1,O
before,100.0,0.0,25,O
spotting,100.0,0.0,1,O
wire.,100.0,0.0,1,O
You,100.0,0.0,14,O
guys,100.0,0.0,2,O
hard,100.0,0.0,7,O
laughs,100.0,0.0,1,O
trainers,100.0,0.0,1,O
comment,100.0,0.0,3,O
speed,100.0,0.0,1,O
Ukrainians.,100.0,0.0,1,O
quick.,100.0,0.0,1,O
slow.,100.0,0.0,1,O
miss,100.0,0.0,1,O
much,100.0,0.0,29,O
Staff Sgt Engstrom.,100.0,0.0,1,Person
impressive,100.0,0.0,2,O
kit,100.0,0.0,2,O
The UK,100.0,0.0,5,Organisation
used,100.0,0.0,10,O
pathMaking,100.0,0.0,1,O
device,100.0,0.0,4,O
biggest,100.0,0.0,2,O
challenge.,100.0,0.0,1,O
familiar,100.0,0.0,2,O
types,100.0,0.0,5,O
invasion.,100.0,0.0,3,O
quite,100.0,0.0,3,O
easy,100.0,0.0,6,O
disarm,100.0,0.0,1,O
making,100.0,0.0,14,O
difficult,100.0,0.0,5,O
British instructors,100.0,0.0,1,Organisation
solving,100.0,0.0,1,O
puzzle,100.0,0.0,1,O
or,100.0,0.0,81,O
game,100.0,0.0,2,O
chess,100.0,0.0,1,O
real,100.0,0.0,5,O
challenge,100.0,0.0,5,O
the minefields,100.0,0.0,1,MilitaryPlatform
there.,100.0,0.0,4,O
deliberate,100.0,0.0,2,O
draw,100.0,0.0,2,O
artillery. Mines,100.0,0.0,1,Weapon
trapped.,100.0,0.0,1,O
Capt Chris Wilson,100.0,0.0,1,Person
leads,100.0,0.0,2,O
character,100.0,0.0,1,O
traits,100.0,0.0,1,O
needed,100.0,0.0,9,O
Explosive Ordnance Disposal and Search,100.0,0.0,1,Organisation
someone,100.0,0.0,2,O
think,100.0,0.0,22,O
understand,100.0,0.0,11,O
problem-solving,100.0,0.0,2,O
while,100.0,0.0,20,O
retaining,100.0,0.0,1,O
composure,100.0,0.0,1,O
This,100.0,0.0,35,O
started,100.0,0.0,5,O
November.,100.0,0.0,1,Temporal
includes,100.0,0.0,12,O
dozen,100.0,0.0,5,O
Ukrainian sappers.,100.0,0.0,1,Organisation
tells,100.0,0.0,5,O
high,100.0,0.0,10,O
demand,100.0,0.0,1,O
back,100.0,0.0,10,O
front,100.0,0.0,27,O
line.,100.0,0.0,7,O
Southern Ukraine,100.0,0.0,1,Location
defences.,100.0,0.0,1,O
yet,100.0,0.0,4,O
Russian minefields,100.0,0.0,1,MilitaryPlatform
dragons ' teeth,100.0,0.0,1,Weapon
trenches,75.0,25.0,4,MilitaryPlatform
way.,100.0,0.0,2,O
task,100.0,0.0,2,O
ahead.,100.0,0.0,1,O
no,100.0,0.0,38,O
choice,100.0,0.0,1,O
Unfortunately,100.0,0.0,1,O
lose,100.0,0.0,4,O
process,100.0,0.0,5,O
At,100.0,0.0,15,O
instructors,100.0,0.0,2,O
hope,100.0,0.0,6,O
save,100.0,0.0,2,O
lives,100.0,0.0,7,O
Ukraine 's generals,100.0,0.0,1,Person
defence,100.0,0.0,9,O
south.,100.0,0.0,3,O
assessed,100.0,0.0,3,O
